version,subset,split,component,seed,set,metric,value
2015,core,random,binding,111,train,pearson_r2_score,0.4351247953690802
2015,core,random,binding,111,train,mean_absolute_error,3.399676812489828
2015,core,random,binding,111,valid,pearson_r2_score,0.03664424987258588
2015,core,random,binding,111,valid,mean_absolute_error,2.8347856421219673
2015,core,random,binding,111,test,pearson_r2_score,0.005322320573807597
2015,core,random,binding,111,test,mean_absolute_error,3.541808067321777
2015,core,random,binding,222,train,pearson_r2_score,0.45408676422032085
2015,core,random,binding,222,train,mean_absolute_error,3.6649155670557274
2015,core,random,binding,222,valid,pearson_r2_score,0.29940644042441383
2015,core,random,binding,222,valid,mean_absolute_error,2.7921432274266293
2015,core,random,binding,222,test,pearson_r2_score,0.0036194510704400354
2015,core,random,binding,222,test,mean_absolute_error,4.1118414459228525
2015,core,random,binding,333,train,pearson_r2_score,0.7661330064753517
2015,core,random,binding,333,train,mean_absolute_error,1.2705211699314607
2015,core,random,binding,333,valid,pearson_r2_score,0.031799342382434974
2015,core,random,binding,333,valid,mean_absolute_error,2.0023526201750106
2015,core,random,binding,333,test,pearson_r2_score,0.5691538930495007
2015,core,random,binding,333,test,mean_absolute_error,1.5908601303100587
2015,core,random,binding,444,train,pearson_r2_score,0.7203591367325209
2015,core,random,binding,444,train,mean_absolute_error,1.2677329727319573
2015,core,random,binding,444,valid,pearson_r2_score,0.09918565151817368
2015,core,random,binding,444,valid,mean_absolute_error,2.2904630259463663
2015,core,random,binding,444,test,pearson_r2_score,0.013075213994067327
2015,core,random,binding,444,test,mean_absolute_error,1.9218152627944947
2015,core,random,binding,555,train,pearson_r2_score,0.1311398582196432
2015,core,random,binding,555,train,mean_absolute_error,4.950292263672902
2015,core,random,binding,555,valid,pearson_r2_score,0.3380092589365088
2015,core,random,binding,555,valid,mean_absolute_error,4.592394204641643
2015,core,random,binding,555,test,pearson_r2_score,0.3510913665445264
2015,core,random,binding,555,test,mean_absolute_error,4.840721076488494
2015,core,scaffold,binding,111,train,pearson_r2_score,0.21167327501040173
2015,core,scaffold,binding,111,train,mean_absolute_error,3.745132695711576
2015,core,scaffold,binding,111,valid,pearson_r2_score,0.14993975251841765
2015,core,scaffold,binding,111,valid,mean_absolute_error,4.2669903383756935
2015,core,scaffold,binding,111,test,pearson_r2_score,0.03161689613722174
2015,core,scaffold,binding,111,test,mean_absolute_error,4.383410434722901
2015,core,scaffold,binding,222,train,pearson_r2_score,0.4346102711522073
2015,core,scaffold,binding,222,train,mean_absolute_error,3.7401985620841
2015,core,scaffold,binding,222,valid,pearson_r2_score,0.1770444419631413
2015,core,scaffold,binding,222,valid,mean_absolute_error,3.9039061405784206
2015,core,scaffold,binding,222,test,pearson_r2_score,0.056391994666597806
2015,core,scaffold,binding,222,test,mean_absolute_error,4.94424971485138
2015,core,scaffold,binding,333,train,pearson_r2_score,0.7720105118094704
2015,core,scaffold,binding,333,train,mean_absolute_error,1.1958071148701204
2015,core,scaffold,binding,333,valid,pearson_r2_score,0.18114725206017432
2015,core,scaffold,binding,333,valid,mean_absolute_error,2.234501414048044
2015,core,scaffold,binding,333,test,pearson_r2_score,0.16468839427208165
2015,core,scaffold,binding,333,test,mean_absolute_error,2.265174209594727
2015,core,scaffold,binding,444,train,pearson_r2_score,0.7570823665520079
2015,core,scaffold,binding,444,train,mean_absolute_error,1.190891335805257
2015,core,scaffold,binding,444,valid,pearson_r2_score,0.32908044937868
2015,core,scaffold,binding,444,valid,mean_absolute_error,2.2165575107775233
2015,core,scaffold,binding,444,test,pearson_r2_score,0.5841391217680393
2015,core,scaffold,binding,444,test,mean_absolute_error,2.0001791610717774
2015,core,scaffold,binding,555,train,pearson_r2_score,0.6362247522969118
2015,core,scaffold,binding,555,train,mean_absolute_error,1.2845725709964066
2015,core,scaffold,binding,555,valid,pearson_r2_score,0.5217312063610805
2015,core,scaffold,binding,555,valid,mean_absolute_error,1.7660866265547903
2015,core,scaffold,binding,555,test,pearson_r2_score,0.40275029870771206
2015,core,scaffold,binding,555,test,mean_absolute_error,1.8713275604248047
2015,core,seq,binding,111,train,pearson_r2_score,0.7328735874201645
2015,core,seq,binding,111,train,mean_absolute_error,1.2584017156943297
2015,core,seq,binding,111,valid,pearson_r2_score,0.0712528303749679
2015,core,seq,binding,111,valid,mean_absolute_error,2.4480583712929174
2015,core,seq,binding,111,test,pearson_r2_score,0.030332233208296665
