,,,mean,mean,mean,mean,std,std,std,std
,,,value,value,value,value,value,value,value,value
subset,,,core,general_PL,refined,mean,core,general_PL,refined,mean
version,split,component,,,,,,,,
2015,random,binding,0.04438862418014095,0.6980507105290936,0.799152084951547,0.5138638065535939,0.04688290667828451,0.020842359924850458,0.004288623152442734,0.34735829937618506
2015,random,ligand,0.08661413691447413,0.6046512502057848,0.7050353074822159,0.46543356486749166,0.0795595864514796,0.0825493683480515,0.05872325491581818,0.28882072746202214
2015,random,protein,0.08009393305357305,0.7294237382826433,0.8399054801744554,0.5498077171702239,0.11994650333365348,0.031899297629462385,0.017342835246198184,0.35335841191445716
2015,scaffold,binding,0.13735042314229515,0.6146555188219736,0.602519005463494,0.4515083158092542,0.11687489722434402,0.03450586001047967,0.04181894084275353,0.24008614197917588
2015,scaffold,ligand,0.1558080724825882,0.4249579363599406,0.4783041044518839,0.3530233710981376,0.19589003625483628,0.06826765940968789,0.09367799960202322,0.19012296361714484
2015,scaffold,protein,0.2884041953367939,0.6907713722212042,0.789038947635113,0.5894048383977036,0.07573156369280128,0.02431050416609905,0.030209505101574965,0.2287555202409683
2015,sequence,binding,0.08436332975130885,0.4688319422790744,0.540798376213852,0.364664549414745,0.13399559135411102,0.04324381291694797,0.05928305198801101,0.2228982834265577
2015,sequence,ligand,0.13059238970074188,0.2329976513017656,0.3528675072452805,0.2388191827492627,0.1531961474007147,0.03981402287127661,0.06517337021218748,0.1311969302595138
2015,sequence,protein,0.1563150145376766,0.5413648895230766,0.6292802217080004,0.44232004192291785,0.09147838106545829,0.01612966797386122,0.053724356878071866,0.22020662365285718
2018,random,binding,0.5058279598219914,0.6438776810027361,0.8073263404789521,0.6523439937678932,0.12286086610469742,0.05377658488845717,0.052496398525998286,0.1489873229692365
2018,random,ligand,0.39316524952294807,0.6224047411366871,0.7548846290291936,0.5901515398962762,0.3245759373584495,0.05036046350284147,0.03667818863104876,0.23479904947380525
2018,random,protein,0.691691028570445,0.7295371933210864,0.8041226212159863,0.7417836143691725,0.02725617290191384,0.05391567516867503,0.07535425231385282,0.07073048347849163
2018,scaffold,binding,0.33687010849050353,0.6677106605717809,0.77169171666931,0.5920908285771982,0.28047647445902957,0.05912345613765931,0.020584566874659985,0.24580882677918897
2018,scaffold,ligand,0.5596678853043515,0.5635474363273459,0.7601570636026828,0.6277907950781267,0.12931311296816128,0.10655386087934413,0.042903088854072416,0.13392667798405786
2018,scaffold,protein,0.7247186187146449,0.7401411802495497,0.8241725468907382,0.7630107819516443,0.1019825279737915,0.022635716626694394,0.03729237561592661,0.07457713242105504
2018,sequence,binding,0.3253159492762986,0.480175932008164,0.5544556567994279,0.45331584602796343,0.17344726907698413,0.04884842042869531,0.04893349453999406,0.14044112554404453
2018,sequence,ligand,0.4274234216322432,0.32411748466437207,0.42032320057781547,0.3906213689581436,0.27541468519253204,0.024920643338789968,0.022545073110255096,0.156119700634394
2018,sequence,protein,0.4956824320196566,0.5194048654291749,0.637235684708535,0.5507743273857888,0.2326021488798439,0.03261650302429075,0.04186539693245368,0.14271721828154887
mean,,,0.3124607095807042,0.5720345657908587,0.6706261386276937,0.5183738046664187,0.2620641332390087,0.14714792162614235,0.1534934674917209,0.24568636513316414
